id,artist,artist_ja,song,song_ja,url1,url1_channel,url2,url2_channel,benefit_points,created_at
85292ecf-a4fd-419e-b9cc-fc5243226cc7,쥬니,ジュニ,눈물은 장식이 아니야,飾りじゃないのよ涙は,https://www.youtube.com/watch?v=8Tylvkl8iDQ,트롯가왕,https://www.youtube.com/watch?v=jqrnlULxTiI,MBN Music,0,2025-11-23 14:26:47.354301+00
8730f3b4-ee6f-47cd-819d-c4dee54c3939,다케나카 유다이,竹中雄大,사랑이라든가 연애라든가,愛とか恋とか,https://www.youtube.com/watch?v=P2OAXJWbwwY,트롯가왕,https://www.youtube.com/watch?v=C6qFfXyYIDk,MBN Music,0,2025-11-23 14:26:47.354301+00
8d4c83b3-8bde-4aee-b770-14b2284ab72e,"김준수, 민은경","キムジュンス, ミンウンギョン","사랑, 결코 시들지 않는",愛、決して枯れない,https://www.youtube.com/watch?v=rH1eqCGh__E,트롯가왕,https://www.youtube.com/watch?v=ooYhL3_VSUo,MBN Music,50000,2025-11-23 14:26:47.354301+00
9027103a-8df1-4881-8c95-cdd023786ed5,"마사야 , 신","マサヤ , シン",Rainy Blue,レイニーブルー,https://www.youtube.com/watch?v=ovapz7-acEg,트롯가왕,https://www.youtube.com/watch?v=DEHWeC17lv0,MBN Music,0,2025-11-23 14:26:47.354301+00
96ade704-71b1-4f39-8e9b-7c1caa930856,"신, 진해성","シン, ジンへソン",찬 바람이 불면,冷たい風が吹けば,https://www.youtube.com/watch?v=xG1ge6Fy7vo,트롯가왕,https://www.youtube.com/watch?v=U7LxJPvBqhc,MBN Music,0,2025-11-23 14:26:47.354301+00
9e47b583-e272-4efc-b180-9b31a5a9879a,진해성,ジンへソン,낙엽이 가는 길,落ち葉が行く道,https://www.youtube.com/watch?v=9s3HgTr5F8k,트롯가왕,https://www.youtube.com/watch?v=5aQ7lIQk858,MBN Music,0,2025-11-23 14:26:47.354301+00
9e550c32-9135-45bb-ad3c-bd24b7173b32,"쥬니 , 성리","ジュニ , ソンリ",바람 바람 바람,風 風 風,https://www.youtube.com/watch?v=JR4RJYJXT_g,트롯가왕,https://www.youtube.com/watch?v=jSBSa4ULGuY,MBN Music,0,2025-11-23 14:26:47.354301+00
a48ae28a-30b7-4cc5-9130-dc87bb3f7072,마사야,マサヤ,이방인,異邦人,https://www.youtube.com/watch?v=VcZHjL6jVRM,트롯가왕,https://www.youtube.com/watch?v=IQ6h0sbChis,MBN Music,0,2025-11-23 14:26:47.354301+00
a680c74c-1f60-4e89-b6a8-baa8766cce16,박서진,パクソジン,당신이야기,あなたの物語,https://www.youtube.com/watch?v=UvgPf94eOuk,트롯가왕,https://www.youtube.com/watch?v=KcPXtpHhiuM,MBN Music,0,2025-11-23 14:26:47.354301+00
a906de80-4bde-4377-b52b-0f1e1a364029,"최수호, 쥬니","チェスホ, ジュニ",변덕스러운 로맨틱,気まぐれロマンティック,https://www.youtube.com/watch?v=t0e96rr6gB0,트롯가왕,https://www.youtube.com/watch?v=jiVL4MxSnwk,MBN Music,0,2025-11-23 14:26:47.354301+00
a9e6b197-ffe2-4446-a24d-3da9420e301a,신승태,シンスンテ,시절인연,時節因縁,https://www.youtube.com/watch?v=91qwNklBqpY,트롯가왕,https://www.youtube.com/watch?v=_e7vSRKwqJo,MBN Music,50000,2025-11-23 14:26:47.354301+00
abf0287f-0f5b-4597-9dee-6e24e85cbe56,에녹,エノク,오! 사라,お！サラ,https://www.youtube.com/watch?v=dPm4WwJcGE8,트롯가왕,https://www.youtube.com/watch?v=7riX1V1QqkA,MBN Music,0,2025-11-23 14:26:47.354301+00
bb6608eb-4292-432a-b137-e561072ffbc0,"타쿠야 , 진해성","タクヤ , ジンへソン",오직 하나뿐인 그대,たった一人だけのあなた,https://www.youtube.com/watch?v=liSMhINBPRw,트롯가왕,https://www.youtube.com/watch?v=xgHEd7nTDBk,MBN Music,0,2025-11-23 14:26:47.354301+00
bd27d2bb-113c-4865-a898-2971b7d74c4e,에녹,エノク,흔적,跡,https://www.youtube.com/watch?v=iOJeBj0Qaq4,트롯가왕,https://www.youtube.com/watch?v=PJ7cbDs1kfk,MBN Music,0,2025-11-23 14:26:47.354301+00
bd7c2760-7a65-478f-8299-a16537c0d690,다케나카 유다이,竹中雄大,First Love,First Love,https://www.youtube.com/watch?v=xv8o67KARIo,트롯가왕,https://www.youtube.com/watch?v=xfdZI_woY1A,MBN Music,0,2025-11-23 14:26:47.354301+00
bed7aa61-e505-4770-8bcd-bf3e820210ea,"타쿠야 , 쥬니","タクヤ , ジュニ",코이,恋,https://www.youtube.com/watch?v=Vqi_t_yxdVc,트롯가왕,https://www.youtube.com/watch?v=wv0Hi35371E,MBN Music,0,2025-11-23 14:26:47.354301+00
